basic_hallucination_type,hallucination_count,total_count,hallucination_rate,model
Attribute-Related,192,1622,11.84,Gemma3-12B
Object-Related,364,3493,10.42,Gemma3-12B
Other,414,3165,13.08,Gemma3-12B
Relationship,88,1720,5.12,Gemma3-12B
Attribute-Related,123,1622,7.58,FastVLM-7B
Object-Related,203,3493,5.81,FastVLM-7B
Other,428,3165,13.52,FastVLM-7B
Relationship,116,1720,6.74,FastVLM-7B
Attribute-Related,320,1622,19.73,LLaVA-Next-8B
Object-Related,312,3493,8.93,LLaVA-Next-8B
Other,464,3165,14.66,LLaVA-Next-8B
Relationship,263,1720,15.29,LLaVA-Next-8B
Attribute-Related,232,1622,14.3,Molmo-V1
Object-Related,381,3493,10.91,Molmo-V1
Other,464,3165,14.66,Molmo-V1
Relationship,128,1720,7.44,Molmo-V1
Attribute-Related,79,1622,4.87,Qwen2.5-VL-7B
Object-Related,223,3493,6.38,Qwen2.5-VL-7B
Other,289,3165,9.13,Qwen2.5-VL-7B
Relationship,15,1720,0.87,Qwen2.5-VL-7B
Attribute-Related,332,1622,20.47,SmolVLM2-2.2B
Object-Related,291,3493,8.33,SmolVLM2-2.2B
Other,323,3165,10.21,SmolVLM2-2.2B
Relationship,45,1720,2.62,SmolVLM2-2.2B
Attribute-Related,152,1587,9.58,Llama-3.2-11B
Object-Related,247,3399,7.27,Llama-3.2-11B
Other,447,3092,14.46,Llama-3.2-11B
Relationship,83,1689,4.91,Llama-3.2-11B
Attribute-Related,135,1587,8.51,Phi4-VL
Object-Related,231,3399,6.8,Phi4-VL
Other,521,3092,16.85,Phi4-VL
Relationship,63,1689,3.73,Phi4-VL
