model,image_id,total_questions,hallucinated_questions,no_hallucination_questions,hallucination_rate,balance_score
FastVLM-7B,AMBER_111.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_112.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_132.jpg,4,2,2,0.5,0.0
FastVLM-7B,AMBER_157.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_196.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_226.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_310.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_336.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_344.jpg,4,2,2,0.5,0.0
FastVLM-7B,AMBER_388.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_413.jpg,4,2,2,0.5,0.0
FastVLM-7B,AMBER_463.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_470.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_478.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_512.jpg,4,2,2,0.5,0.0
FastVLM-7B,AMBER_528.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_582.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_629.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_691.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_709.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_773.jpg,6,3,3,0.5,0.0
FastVLM-7B,AMBER_787.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_805.jpg,4,2,2,0.5,0.0
FastVLM-7B,AMBER_869.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_88.jpg,4,2,2,0.5,0.0
FastVLM-7B,AMBER_946.jpg,2,1,1,0.5,0.0
FastVLM-7B,AMBER_987.jpg,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_chart_13_1.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_chart_15_2.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_chart_18_2.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_chart_19_1.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_chart_19_2.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_chart_4_1.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_chart_4_2.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_chart_5_1.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_chart_5_2.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_figure_15_0.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_illusion_19_1.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_illusion_21_0.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_illusion_28_1.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_illusion_7_0.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_illusion_9_1.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_map_10_2.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_map_5_2.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_map_7_1.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_map_7_2.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_math_1_1.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_math_4_0.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_math_4_1.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_math_7_0.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_math_8_0.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_math_8_1.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_math_9_1.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_ocr_20_0.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_ocr_20_1.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_ocr_7_0.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_table_5_1.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_table_6_2.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_table_6_3.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_table_7_1.png,6,3,3,0.5,0.0
FastVLM-7B,hallusionbench_video_10_0.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_video_10_1.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_video_11_0.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_video_11_2.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_video_14_1.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_video_15_1.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_video_16_0.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_video_16_1.png,2,1,1,0.5,0.0
FastVLM-7B,hallusionbench_video_17_0.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_video_18_1.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_video_19_0.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_video_19_1.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_video_1_0.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_video_3_1.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_video_4_0.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_video_6_1.png,4,2,2,0.5,0.0
FastVLM-7B,hallusionbench_video_8_1.png,4,2,2,0.5,0.0
FastVLM-7B,mme_artwork_22667.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0032138_shot_0395_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0047396_shot_0333_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0048545_shot_0124_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0049730_shot_0273_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0053221_shot_0197_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0056869_shot_0320_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0061722_shot_0259_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0062622_shot_0291_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0064665_shot_0300_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0066026_shot_0085_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0067116_shot_0122_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0070047_shot_0255_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0070511_shot_0639_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0070849_shot_0021_img_1.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0073195_shot_0280_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0073629_shot_0700_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0074119_shot_0814_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0074285_shot_0535_img_1.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0075148_shot_0618_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0076759_shot_0930_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0077402_shot_1220_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0077416_shot_1442_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0077651_shot_0133_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0078788_shot_1434_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0079470_shot_0798_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0079945_shot_1411_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0080684_shot_1574_img_2.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0082198_shot_1353_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0082971_shot_0831_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0083907_shot_0633_img_0.jpg,2,1,1,0.5,0.0
FastVLM-7B,mme_celebrity_tt0083929_shot_0405_img_0.jpg,2,1,1,0.5,0.0
