model,embedding_type,layer_name,probe_dir,auroc,status
Gemma3-12B,vision_only_representation,N/A,vision_only,0.673587807606264,Success
Gemma3-12B,vision_token_representation,layer_0,vision_token_layer0,0.6538427039804146,Success
Gemma3-12B,vision_token_representation,layer_n_4,vision_token_layer_n_4,,No embeddings found for vision_token_representation/layer_n_4
Gemma3-12B,vision_token_representation,layer_n_2,vision_token_layer_n_2,,No embeddings found for vision_token_representation/layer_n_2
Gemma3-12B,vision_token_representation,layer_3n_4,vision_token_layer_3n_4,,No embeddings found for vision_token_representation/layer_3n_4
Gemma3-12B,vision_token_representation,layer_n,vision_token_layer_n,,No embeddings found for vision_token_representation/layer_n
Gemma3-12B,query_token_representation,layer_0,query_token_layer0,0.716453505550631,Success
Gemma3-12B,query_token_representation,layer_n_4,query_token_layer_n_4,,No embeddings found for query_token_representation/layer_n_4
Gemma3-12B,query_token_representation,layer_n_2,query_token_layer_n_2,,No embeddings found for query_token_representation/layer_n_2
Gemma3-12B,query_token_representation,layer_3n_4,query_token_layer_3n_4,,No embeddings found for query_token_representation/layer_3n_4
Gemma3-12B,query_token_representation,layer_n,query_token_layer_n,,No embeddings found for query_token_representation/layer_n
FastVLM-7B,vision_only_representation,N/A,vision_only,0.682981140864398,Success
FastVLM-7B,vision_token_representation,layer_0,vision_token_layer0,0.6934650829021415,Success
FastVLM-7B,vision_token_representation,layer_n_4,vision_token_layer_n_4,,No embeddings found for vision_token_representation/layer_n_4
FastVLM-7B,vision_token_representation,layer_n_2,vision_token_layer_n_2,,No embeddings found for vision_token_representation/layer_n_2
FastVLM-7B,vision_token_representation,layer_3n_4,vision_token_layer_3n_4,,No embeddings found for vision_token_representation/layer_3n_4
FastVLM-7B,vision_token_representation,layer_n,vision_token_layer_n,,No embeddings found for vision_token_representation/layer_n
FastVLM-7B,query_token_representation,layer_0,query_token_layer0,0.6715451146277901,Success
FastVLM-7B,query_token_representation,layer_n_4,query_token_layer_n_4,,No embeddings found for query_token_representation/layer_n_4
FastVLM-7B,query_token_representation,layer_n_2,query_token_layer_n_2,,No embeddings found for query_token_representation/layer_n_2
FastVLM-7B,query_token_representation,layer_3n_4,query_token_layer_3n_4,,No embeddings found for query_token_representation/layer_3n_4
FastVLM-7B,query_token_representation,layer_n,query_token_layer_n,,No embeddings found for query_token_representation/layer_n
LLaVA-Next-8B,vision_only_representation,N/A,vision_only,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/llava_next_manually_reviewed.csv'
LLaVA-Next-8B,vision_token_representation,layer_0,vision_token_layer0,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/llava_next_manually_reviewed.csv'
LLaVA-Next-8B,vision_token_representation,layer_n_4,vision_token_layer_n_4,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/llava_next_manually_reviewed.csv'
LLaVA-Next-8B,vision_token_representation,layer_n_2,vision_token_layer_n_2,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/llava_next_manually_reviewed.csv'
LLaVA-Next-8B,vision_token_representation,layer_3n_4,vision_token_layer_3n_4,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/llava_next_manually_reviewed.csv'
LLaVA-Next-8B,vision_token_representation,layer_n,vision_token_layer_n,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/llava_next_manually_reviewed.csv'
LLaVA-Next-8B,query_token_representation,layer_0,query_token_layer0,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/llava_next_manually_reviewed.csv'
LLaVA-Next-8B,query_token_representation,layer_n_4,query_token_layer_n_4,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/llava_next_manually_reviewed.csv'
LLaVA-Next-8B,query_token_representation,layer_n_2,query_token_layer_n_2,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/llava_next_manually_reviewed.csv'
LLaVA-Next-8B,query_token_representation,layer_3n_4,query_token_layer_3n_4,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/llava_next_manually_reviewed.csv'
LLaVA-Next-8B,query_token_representation,layer_n,query_token_layer_n,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/llava_next_manually_reviewed.csv'
Molmo-V1,vision_only_representation,N/A,vision_only,0.6829547625843616,Success
Molmo-V1,vision_token_representation,layer_0,vision_token_layer0,0.6935582033360146,Success
Molmo-V1,vision_token_representation,layer_n_4,vision_token_layer_n_4,,No embeddings found for vision_token_representation/layer_n_4
Molmo-V1,vision_token_representation,layer_n_2,vision_token_layer_n_2,,No embeddings found for vision_token_representation/layer_n_2
Molmo-V1,vision_token_representation,layer_3n_4,vision_token_layer_3n_4,,No embeddings found for vision_token_representation/layer_3n_4
Molmo-V1,vision_token_representation,layer_n,vision_token_layer_n,,No embeddings found for vision_token_representation/layer_n
Molmo-V1,query_token_representation,layer_0,query_token_layer0,0.7675404971232712,Success
Molmo-V1,query_token_representation,layer_n_4,query_token_layer_n_4,,No embeddings found for query_token_representation/layer_n_4
Molmo-V1,query_token_representation,layer_n_2,query_token_layer_n_2,,No embeddings found for query_token_representation/layer_n_2
Molmo-V1,query_token_representation,layer_3n_4,query_token_layer_3n_4,,No embeddings found for query_token_representation/layer_3n_4
Molmo-V1,query_token_representation,layer_n,query_token_layer_n,,No embeddings found for query_token_representation/layer_n
Qwen2.5-VL-7B,vision_only_representation,N/A,vision_only,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/qwen_manually_reviewed.csv'
Qwen2.5-VL-7B,vision_token_representation,layer_0,vision_token_layer0,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/qwen_manually_reviewed.csv'
Qwen2.5-VL-7B,vision_token_representation,layer_n_4,vision_token_layer_n_4,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/qwen_manually_reviewed.csv'
Qwen2.5-VL-7B,vision_token_representation,layer_n_2,vision_token_layer_n_2,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/qwen_manually_reviewed.csv'
Qwen2.5-VL-7B,vision_token_representation,layer_3n_4,vision_token_layer_3n_4,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/qwen_manually_reviewed.csv'
Qwen2.5-VL-7B,vision_token_representation,layer_n,vision_token_layer_n,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/qwen_manually_reviewed.csv'
Qwen2.5-VL-7B,query_token_representation,layer_0,query_token_layer0,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/qwen_manually_reviewed.csv'
Qwen2.5-VL-7B,query_token_representation,layer_n_4,query_token_layer_n_4,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/qwen_manually_reviewed.csv'
Qwen2.5-VL-7B,query_token_representation,layer_n_2,query_token_layer_n_2,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/qwen_manually_reviewed.csv'
Qwen2.5-VL-7B,query_token_representation,layer_3n_4,query_token_layer_3n_4,,[Errno 2] No such file or directory: '/root/akhil/FInal_CSV_Hallucination/qwen_manually_reviewed.csv'
